名称,数量,百分比
org.instancio.instancio-junit,1,0.79
net.logstash.logback.logstash-logback-encoder,1,0.79
org.flywaydb.flyway-database-oracle,1,0.79
org.springframework.ai.spring-ai-pdf-document-reader,1,0.79
org.testcontainers.mariadb,1,0.79
com.tngtech.archunit.archunit-junit5,1,0.79
io.quarkus.quarkus-hibernate-orm-panache,1,0.79
io.quarkus.quarkus-hibernate-orm,1,0.79
io.quarkus.quarkus-jdbc-mysql,1,0.79
org.nasdanika.models.app.cli,1,0.79
${project.groupid}.core,1,0.79
com.github.jelmerk.hnswlib-core,1,0.79
org.nasdanika.core.cli,1,0.79
${project.groupid}.ollama,1,0.79
com.azure.azure-ai-openai,1,0.79
com.knuddels.jtokkit,1,0.79
org.nasdanika.core.telemetry,1,0.79
org.nasdanika.core.drawio,1,0.79
${project.groupid}.openai,1,0.79
${project.groupid}.mcp,1,0.79
com.github.jelmerk.hnswlib-utils,1,0.79
org.nasdanika.core.http,1,0.79
${project.groupid}.drawio,1,0.79
org.json.json,1,0.79
com.lukaspradel.steam-web-api,1,0.79
org.springframework.boot.spring-boot-starter-data-mongodb,1,0.79
com.github.umjammer.vavi-commons,1,0.79
commons-cli.commons-cli,1,0.79
org.geysermc.mcprotocollib.protocol,1,0.79
io.netty.netty-common,1,0.79
org.junit.platform.junit-platform-commons,1,0.79
org.springframework.ai.spring-ai-anthropic-spring-boot-starter,1,0.79
org.kohsuke.github-api,1,0.79
io.github.cdimascio.dotenv-java,1,0.79
io.quarkiverse.backstage.quarkus-backstage,1,0.79
org.noear.nami-coder-fury,1,0.79
org.noear.jmdns-solon-cloud-plugin,1,0.79
org.noear.solon.sessionstate.jedis,1,0.79
org.javassist.javassist,1,0.79
org.noear.solon-view-jsp,1,0.79
org.noear.solon-flow-stateful,1,0.79
org.noear.solon-ai-repo-elasticsearch,1,0.79
org.apache.fury.fury-core,1,0.79
org.noear.solon-cloud-gateway,1,0.79
org.noear.solon-config-plus,1,0.79
org.noear.easy-trans-solon-plugin,1,0.79
org.freemarker.freemarker,1,0.79
org.noear.solon-serialization-fastjson2,1,0.79
net.spy.spymemcached,1,0.79
org.noear.solon-expression,1,0.79
org.noear.nami-coder-protostuff,1,0.79
org.noear.sa-token-dao-redisson-jackson,1,0.79
org.noear.solon.sessionstate.jwt,1,0.79
io.protostuff.protostuff-api,1,0.79
org.jboss.metadata.jboss-metadata-common,1,0.79
org.noear.solon-sessionstate-redisson,1,0.79
org.noear.solon.web.servlet,1,0.79
org.noear.nami-channel-http,1,0.79
org.noear.socketd,1,0.79
org.noear.solon-admin-server,1,0.79
org.noear.mybatis-plus-solon-plugin,1,0.79
org.noear.snack3,1,0.79
org.noear.socketd-transport-java-udp,1,0.79
org.noear.solon.scheduling.quartz,1,0.79
org.noear.solon-ai-load-markdown,1,0.79
org.noear.polaris-solon-cloud-plugin,1,0.79
org.noear.semaphore-solon-cloud-plugin,1,0.79
org.noear.nami.coder.fastjson2,1,0.79
org.noear.solon-data-rx-sqlutils,1,0.79
org.noear.solon-boot-undertow-add-jsp,1,0.79
javax.websocket.javax.websocket-api,1,0.79
org.noear.wood-solon-plugin,1,0.79
org.noear.solon.view.freemarker,1,0.79
org.noear.solon.i18n,1,0.79
org.noear.solon-boot-undertow,1,0.79
com.ejlchina.okhttps-stomp,1,0.79
org.noear.solon-sessionstate-local,1,0.79
org.noear.solon.data.shardingds,1,0.79
org.noear.solon.logging.simple,1,0.79
org.noear.solon.serialization.hessian,1,0.79
org.noear.qiniu-kodo-solon-cloud-plugin,1,0.79
org.noear.solon-scheduling-simple,1,0.79
org.noear.solon-ai-load-excel,1,0.79
org.noear.solon-cloud-eventplus,1,0.79
org.noear.solon.cloud.gateway,1,0.79
org.noear.nami-channel-http-hutool,1,0.79
org.noear.solon.sessionstate.redisson,1,0.79
org.noear.mybatis-tkmapper-solon-plugin,1,0.79
javax.servlet.javax.servlet-api,1,0.79
org.noear.solon.cache.jedis,1,0.79
org.apache.maven.maven-plugin-api,1,0.79
org.noear.drools-solon-plugin,1,0.79
org.noear.solon.health.detector,1,0.79
org.noear.solon.luffy,1,0.79
org.noear.solon-ai-repo-qdrant,1,0.79
org.noear.solon-logging-logback-jakarta,1,0.79
org.noear.aliyun-oss-solon-cloud-plugin,1,0.79
org.noear.java-cron,1,0.79
org.java-websocket.java-websocket,1,0.79
ch.rabanti.nanoxlsx4j,1,0.79
org.noear.solon-rx,1,0.79
org.noear.nami-coder-fastjson,1,0.79
org.noear.solon-aot,1,0.79
org.noear.solon-loader,1,0.79
org.noear.solon.boot,1,0.79
org.noear.solon-cloud-tracing,1,0.79
org.noear.solon-test-junit5,1,0.79
org.apache.shardingsphere.shardingsphere-jdbc-core,1,0.79
org.noear.solon-ai-core,1,0.79
org.noear.solon-serialization-jackson,1,0.79
org.noear.luffy.base,1,0.79
org.noear.solon-view-velocity,1,0.79
org.noear.nami-coder-kryo,1,0.79
org.noear.xxl-job-solon-cloud-plugin,1,0.79
org.noear.solon.web.servlet.jakarta,1,0.79
org.noear.solon-boot-vertx,1,0.79
javax.servlet.jstl,1,0.79
org.noear.nami-coder-hessian,1,0.79
org.noear.easypoi-web-solon,1,0.79
org.noear.solon-security-web,1,0.79
org.noear.solon-boot-socketd,1,0.79
org.noear.solon-ai-load-word,1,0.79
org.noear.socketd-transport-java-tcp,1,0.79
org.noear.solon-serialization-fury,1,0.79
org.noear.solon-flow-eval-beetl,1,0.79
org.noear.captcha-solon-plugin,1,0.79
io.jsonwebtoken.jjwt-api,1,0.79
org.noear.solon.logging.log4j2,1,0.79
